受注No,受注日,得意先,得意先注文No,製品名１,製品名２,受注数量,単位,台数,受注金額,納期,納期返事,版区,入日,工程１－工程名,工程１－号機名,工程１－完了日,工程１－完了数,工程２－工程名,工程２－号機名,工程２－完了日,工程２－完了数,工程３－工程名,工程３－号機名,工程３－完了日,工程３－完了数,工程４－工程名,工程４－号機名,工程４－完了日,工程４－完了数,工程５－工程名,工程５－号機名,工程５－完了日,工程５－完了数,工程６－工程名,工程６－号機名,工程６－完了日,工程６－完了数,工程７－工程名,工程７－号機名,工程７－完了日,工程７－完了数,工程８－工程名,工程８－号機名,工程８－完了日,工程８－完了数,工程９－工程名,工程９－号機名,工程９－完了日,工程９－完了数,工程１０－工程名,工程１０－号機名,工程１０－完了日,工程１０－完了数,最終納品日,最終伝票No,納品金額,状態１,状態２
0000326698-000,2026/06/01,相模サプライ(株),ORD-53583,NY チューブ 100μ クリア,,49636,枚,  0,239890,2026/06/29,2026/07/16,旧版,,印刷,4号機,2026/06/25 確,0,スリッター,５号機,2026/06/26 確,0,サイド,１２号機,2026/07/13 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326699-000,2026/06/01,神戸デザイン(有),ORD-15811,PE フィルム 300μ 透明,,73600,枚,  0,469412,2026/07/27,2026/07/28,新版,2026/06/19,印刷,2-Ｆ号機,2026/07/15 確,0,スリッター,３号機,2026/07/16 確,0,サイド,６号機,2026/07/23 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326700-000,2026/06/01,浜松パッケージ,ORD-81567,CPP シート 100μ 黒,,12000,枚,  0,454992,2026/07/07,2026/07/16,新版,2026/06/15,印刷,2号機,2026/07/08 確,0,ラミネート,Ｌ１号,2026/07/09 確,0,スリッター,３号機,2026/07/10 確,0,サイド,２２号機,2026/07/13 確,0,後加工,後加工（ｼｭｰｸ,2026/07/14 確,0,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326701-000,2026/06/01,神戸デザイン(有),ORD-94252,EVOH テープ 300μ 青,,110400,枚,  0,283594,2026/07/27,2026/07/30,新版,2026/06/19,印刷,5-Ｆ号機,2026/07/16 確,0,スリッター,２号機,2026/07/22 確,0,サイド,６号機,2026/07/24 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326702-000,2026/06/01,仙台ラベル㈲,,AL トレー 100μ 銀,,850,ｍ,  0,970720,2026/06/19,2026/06/19,旧版,,ﾃﾞｼﾞﾀﾙ印刷,ｲﾝﾃﾞｨｺﾞ1号,2026/06/04 完,950,印刷,2-Ｆ号機,2026/06/11 完,940,検品機,社内検品機３,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326703-000,2026/06/01,福岡パッケージ,ORD-99742,紙 ラベル 300μ クリア,,23040,ｍ,  0,587192,2026/06/23,2026/06/23,旧版,,スリッター,２号機,2026/06/11 完,8000,印刷,5号機,2026/06/12 完,7870,ｽﾘｯﾄ２回目,２号機,2026/06/18 完,7840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326704-000,2026/06/01,福岡パッケージ,ORD-72722,不織布 ロール 100μ 透明,,23040,ｍ,  0,762423,2026/06/23,2026/06/23,旧版,,スリッター,２号機,2026/06/11 完,8000,印刷,5号機,2026/06/12 完,7860,ｽﾘｯﾄ２回目,２号機,2026/06/18 完,7840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326705-000,2026/06/01,仙台ラベル㈲,,透明 カップ 300μ 黒,,850,ｍ,  0,291132,2026/06/19,2026/06/19,旧版,,ﾃﾞｼﾞﾀﾙ印刷,ｲﾝﾃﾞｨｺﾞ1号,2026/06/04 完,940,印刷,2-Ｆ号機,2026/06/11 完,930,検品機,社内検品機３,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326706-000,2026/06/01,仙台ラベル㈲,,OPP 袋 100μ 青,,850,ｍ,  0,950916,2026/06/19,,旧版,,ﾃﾞｼﾞﾀﾙ印刷,ｲﾝﾃﾞｨｺﾞ1号,           未,0,印刷,2-Ｆ号機,           未,0,検品機,社内検品機３,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
0000326707-000,2026/06/01,仙台ラベル㈲,,PET パウチ 300μ 銀,,850,ｍ,  0,241403,2026/06/19,2026/06/19,旧版,,ﾃﾞｼﾞﾀﾙ印刷,ｲﾝﾃﾞｨｺﾞ1号,2026/06/04 完,960,印刷,2-Ｆ号機,2026/06/11 完,940,検品機,社内検品機３,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326708-000,2026/06/01,長崎産業,ORD-18270,AL トレー 100μ 銀,,15040,ｍ,  0,850827,2026/07/21,2026/08/17,旧版,,印刷,5号機,2026/08/06 確,0,スリッター,２号機,2026/08/07 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326709-000,2026/06/01,熊本プリント㈱,ORD-69988,NY チューブ 100μ クリア,,20500,枚,  0,138780,2026/06/16,2026/06/16,改版,2026/06/09,印刷,5-Ｆ号機,2026/06/12 完,3660,スリッター,２号機,2026/06/16 完,3550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/18,348740,407696,,
0000326710-000,2026/06/01,名古屋テック(株),ORD-36422,PE フィルム 300μ 透明,,40000,枚,  0,145934,2026/08/06,,旧版,,作業無,,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326711-000,2026/06/01,神戸デザイン(有),ORD-36144,PE フィルム 300μ 透明,,800,ｍ,  0,143941,2026/06/08,2026/06/08,旧版,,ﾃﾞｼﾞﾀﾙ印刷,ｲﾝﾃﾞｨｺﾞ2号,2026/06/04 完,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/08,348441,430926,,
0000326712-000,2026/06/01,姫路デザイン(有),ORD-50642,AL トレー 100μ 銀,,7680,ｍ,  0,77552,2026/07/06,2026/07/06,旧版,,印刷,1-Ｆ号機,2026/06/22 確,0,スリッター,５号機,2026/06/24 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326713-000,2026/06/01,浜松パッケージ,ORD-62196,CPP シート 100μ 黒,,28666,枚,  0,81176,2026/07/06,2026/07/24,旧版,,印刷,2-Ｆ号機,2026/07/08 確,0,スリッター,５号機,2026/07/09 確,0,サイド,１２号機,2026/07/17 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326714-000,2026/06/01,大阪フィルム㈲,,PE フィルム 300μ 透明,,50823,枚,  0,596395,2026/08/20,,旧版,,印刷,5-Ｆ号機,           未,0,サイド,２６号機,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326715-000,2026/06/01,熊本クリエイト㈱,ORD-43202,EVOH テープ 300μ 青,,3680,ｍ,  0,138399,2026/06/22,2026/06/29,旧版,,印刷,4号機,2026/06/22 確,0,ラミネート,Ｌ2号機,2026/06/24 確,0,スリッター,４号機,2026/06/25 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326716-000,2026/06/01,熊本クリエイト㈱,ORD-94790,AL トレー 100μ 銀,,3680,ｍ,  0,300386,2026/06/29,2026/06/30,旧版,,印刷,3号機,2026/06/16 完,3810,ラミネート,宮内紙工,2026/06/22 確,0,スリッター,６号機,2026/06/29 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326717-000,2026/06/01,福岡メディア,ORD-47501,紙 ラベル 300μ クリア,,66600,枚,  0,56789,2026/06/22,2026/06/22,,,スリッター,４号機,2026/06/17 完,17920,サイド,６号機,2026/06/19 完,66600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326718-000,2026/06/01,千葉ラベル㈲,ORD-16265,紙 ラベル 300μ クリア,,12800,枚,  0,787584,2026/07/09,2026/07/23,旧版,,印刷,3号機,2026/07/09 確,0,ラミネート,Ｌ2号機,2026/07/13 確,0,スリッター,６号機,2026/07/14 確,0,サイド,１７号機,2026/07/21 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326719-000,2026/06/01,千葉ラベル㈲,ORD-53506,不織布 ロール 100μ 透明,,14629,枚,  0,386488,2026/07/23,2026/07/29,旧版,,印刷,2号機,2026/07/07 確,0,ラミネート,Ｌ１号,2026/07/13 確,0,スリッター,５号機,2026/07/14 確,0,合掌,西岡製袋（合,2026/07/17 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326720-000,2026/06/01,横浜デザイン(有),ORD-26315,透明 カップ 300μ 黒,,17800,枚,  0,58237,2026/07/15,2026/07/16,無地,,スリッター,３号機,2026/07/09 確,0,合掌,９号機,2026/07/13 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326721-000,2026/06/01,川崎商事(株),ORD-67272,OPP 袋 100μ 青,,314280,ｍ,  0,519453,2026/07/24,2026/08/03,旧版,,印刷,1-Ｆ号機,2026/07/31 確,0,スリッター,２号機,2026/08/01 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326722-000,2026/06/01,浜松メディア,ORD-67637,PET パウチ 300μ 銀,,24533,枚,  0,60678,2026/06/29,2026/07/28,無地,,ラミネート,宮内紙工,2026/06/22 確,0,スリッター,４号機,2026/07/15 確,0,サイド,１９号機,2026/07/24 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326723-000,2026/06/01,姫路工業(有),ORD-54438,NY チューブ 100μ クリア,,86588,枚,  0,295892,2026/09/18,,旧版,,印刷,5-Ｆ号機,           未,0,スリッター,３号機,           未,0,サイド,２３号機,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326724-000,2026/06/01,長崎パッケージ,ORD-75038,PE フィルム 300μ 透明,,32000,枚,  0,825686,2026/08/04,2026/08/04,旧版,,印刷,1-Ｆ号機,2026/07/21 確,0,ラミネート,Ｌ2号機,2026/07/27 確,0,スリッター,３号機,2026/07/28 確,0,合掌,９号機,2026/07/30 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326725-000,2026/06/01,新潟工業(有),ORD-75211,CPP シート 100μ 黒,,17200,枚,  0,58148,2026/06/30,2026/07/23,旧版,,印刷,2-Ｆ号機,2026/07/08 確,0,スリッター,５号機,2026/07/15 確,0,サイド,２３号機,2026/07/17 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326726-000,2026/06/01,名古屋サプライ(株),ORD-78062,EVOH テープ 300μ 青,,11428,枚,  0,379676,2026/07/02,2026/07/21,旧版,,印刷,3号機,2026/06/18 完,1810,ラミネート,Ｌ2号機,2026/06/24 確,0,巻き直し,社内検品機１,2026/06/24 確,0,スリッター,３号機,2026/06/25 確,0,三方,１０号機,2026/07/14 確,0,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326727-000,2026/06/01,浜松産業,ORD-20828,AL トレー 100μ 銀,,22750,枚,  0,65640,2026/06/18,2026/06/18,旧版,,印刷,5-Ｆ号機,2026/06/08 完,3920,サイド,２３号機,2026/06/11 完,23600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/18,348844,20345,,
0000326728-000,2026/06/01,福岡メディア,ORD-66440,紙 ラベル 300μ クリア,,28800,枚,  0,731718,2026/07/29,2026/07/31,,,ラミネート,Ｌ2号機,2026/07/21 確,0,スリッター,４号機,2026/07/22 確,0,サイド,１７号機,2026/07/30 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326729-000,2026/06/01,新潟工業(有),ORD-33652,不織布 ロール 100μ 透明,,15800,枚,  0,671971,2026/06/22,2026/07/22,旧版,,印刷,2号機,2026/06/25 確,0,ラミネート,Ｌ１号,2026/07/08 確,0,スリッター,４号機,2026/07/13 確,0,サイド,１２号機,2026/07/16 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326730-000,2026/06/01,新潟工業(有),ORD-48504,透明 カップ 300μ 黒,,3680,ｍ,  0,436814,2026/06/22,2026/07/14,旧版,,印刷,2号機,2026/07/06 確,0,ラミネート,Ｌ１号,2026/07/10 確,0,スリッター,４号機,2026/07/13 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326731-000,2026/06/01,熊本プリント㈱,ORD-23447,OPP 袋 100μ 青,,4500,枚,  0,20494,2026/06/24,2026/06/25,旧版,,印刷,1-Ｆ号機,2026/06/22 確,0,サイド,６号機,2026/06/23 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326732-000,2026/06/02,熊本プリント㈱,ORD-52981,PET パウチ 300μ 銀,,1640,ｍ,  0,793024,2026/06/12,2026/06/19,改版,2026/06/09,印刷,1号機,2026/06/15 完,1720,ラミネート,Ｌ2号機,2026/06/16 完,1610,スリッター,５号機,2026/06/18 完,1590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/23,348900,410000,,
0000326733-000,2026/06/02,新潟デザイン(有),,NY チューブ 100μ クリア,,10444,枚,  0,50173,2026/07/10,2026/07/10,無地,,サイド,５号機,2026/07/03 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326734-000,2026/06/02,相模テック(株),ORD-68447,PE フィルム 300μ 透明,,35000,枚,  0,731894,2026/06/25,2026/07/31,旧版,,印刷,2-Ｆ号機,2026/07/28 確,0,サイド,２１号機,2026/07/30 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326735-000,2026/06/02,相模テック(株),ORD-65851,CPP シート 100μ 黒,,3000,枚,  0,31842,2026/07/02,,無地,,サイド,製袋その他,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326736-000,2026/06/09,千葉印刷㈲,,EVOH テープ 300μ 青,,13720,ｍ,  0,68183,2026/06/18,2026/06/18,旧版,,印刷,5-Ｆ号機,2026/06/17 完,13760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/18,348850,56077,,
0000326737-000,2026/06/09,千葉印刷㈲,,AL トレー 100μ 銀,,23520,ｍ,  0,568849,2026/07/06,2026/07/06,旧版,,印刷,5-Ｆ号機,2026/07/03 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326738-000,2026/06/09,千葉印刷㈲,,紙 ラベル 300μ クリア,,19000,ｍ,  0,144412,2026/07/27,2026/07/27,旧版,,印刷,5-Ｆ号機,2026/07/23 確,0,印刷２回目,5-Ｆ号機,2026/07/24 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326739-000,2026/06/02,相模テック(株),ORD-56210,不織布 ロール 100μ 透明,,25000,枚,  0,744718,2026/07/09,2026/07/14,旧版,2026/06/11,印刷,4号機,2026/07/06 確,0,ラミネート,Ｌ１号,2026/07/07 確,0,スリッター,６号機,2026/07/08 確,0,サイド,１５号機,2026/07/13 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326740-000,2026/06/02,熊本クリエイト㈱,ORD-67008,透明 カップ 300μ 黒,,12307,枚,  0,45986,2026/08/31,2026/08/31,新版,2026/06/18,印刷,4号機,2026/08/19 確,0,スリッター,２号機,2026/08/20 確,0,合掌,９号機,2026/08/24 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326741-000,2026/06/02,神戸工業(有),,OPP 袋 100μ 青,,3840,ｍ,  0,93816,2026/06/24,2026/07/09,旧版,,印刷,1-Ｆ号機,2026/07/07 確,0,スリッター,４号機,2026/07/08 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326742-000,2026/06/02,神戸工業(有),ORD-17518,PET パウチ 300μ 銀,,3840,ｍ,  0,19835,2026/06/24,2026/07/08,旧版,,印刷,1-Ｆ号機,2026/07/06 確,0,スリッター,４号機,2026/07/07 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326743-000,2026/06/02,岡山フィルム㈲,ORD-97973,NY チューブ 100μ クリア,,300,枚,  0,93560,2026/06/22,2026/06/24,無地,,ラミネート,Ｌ１号,2026/06/16 完,1940,スリッター,６号機,2026/06/17 完,1922,サイド,１４号機,2026/06/19 完,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326744-000,2026/06/02,熊本プリント㈱,ORD-63242,PE フィルム 300μ 透明,,3400,ｍ,  0,480959,2026/07/01,2026/07/01,旧版,,印刷,1号機,2026/06/18 完,3850,ラミネート,Ｌ2号機,2026/06/23 確,0,スリッター,３号機,2026/06/29 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326745-000,2026/06/02,熊本プリント㈱,ORD-77251,CPP シート 100μ 黒,,7360,ｍ,  0,940010,2026/07/01,2026/07/03,旧版,,印刷,4号機,2026/06/24 確,0,ラミネート,Ｌ１号,2026/06/29 確,0,スリッター,４号機,2026/07/02 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326746-000,2026/06/02,岡山フィルム㈲,ORD-99051,EVOH テープ 300μ 青,,32800,枚,  0,267758,2026/07/07,2026/07/16,旧版,,印刷,2号機,2026/07/02 確,0,ラミネート,Ｌ2号機,2026/07/07 確,0,スリッター,６号機,2026/07/08 確,0,サイド,１５号機,2026/07/10 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326747-000,2026/06/02,岡山フィルム㈲,ORD-14081,AL トレー 100μ 銀,,53333,枚,  0,249715,2026/06/29,2026/07/08,旧版,,印刷,5号機,2026/06/24 確,0,ラミネート,Ｌ2号機,2026/07/06 確,0,スリッター,５号機,2026/07/07 確,0,三方,はつかいち,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326748-000,2026/06/02,浜松パッケージ,ORD-89635,紙 ラベル 300μ クリア,,102857,枚,  0,811027,2026/07/21,2026/08/17,新版,2026/06/26,印刷,2-Ｆ号機,2026/07/10 確,0,スリッター,３号機,2026/07/14 確,0,サイド,２３号機,2026/08/04 確,0,後加工,後加工（ｼｭｰｸ,2026/08/06 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326749-000,2026/06/02,熊本プリント㈱,ORD-67432,不織布 ロール 100μ 透明,,2000,ｍ,  0,136489,2026/07/14,2026/07/15,旧版,,印刷,2号機,2026/07/07 確,0,ラミネート,Ｌ１号,2026/07/13 確,0,スリッター,４号機,2026/07/14 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326750-000,2026/06/02,新潟加工(有),ORD-26545,透明 カップ 300μ 黒,,1960,ｍ,  0,18812,2026/07/06,,無地,,スリッター,２号機,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326751-000,2026/06/02,熊本プリント㈱,ORD-40932,OPP 袋 100μ 青,,2000,ｍ,  0,916332,2026/07/14,2026/07/15,旧版,,印刷,2号機,2026/07/07 確,0,ラミネート,Ｌ１号,2026/07/13 確,0,スリッター,４号機,2026/07/14 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326752-000,2026/06/02,熊本クリエイト㈱,ORD-94562,PET パウチ 300μ 銀,,65647,枚,  0,484123,2026/08/31,2026/08/31,旧版,,印刷,4号機,2026/08/19 確,0,サイド,２２号機,2026/08/25 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326753-000,2026/06/02,熊本プリント㈱,ORD-57467,NY チューブ 100μ クリア,,3600,ｍ,  0,501451,2026/07/14,2026/07/15,旧版,,印刷,2号機,2026/07/07 確,0,ラミネート,Ｌ１号,2026/07/13 確,0,スリッター,４号機,2026/07/14 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326754-000,2026/06/02,姫路加工(有),ORD-84349,PE フィルム 300μ 透明,,32727,枚,  0,133958,2026/08/26,2026/09/01,旧版,,印刷,4号機,2026/08/20 確,0,サイド,２２号機,2026/08/27 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326755-000,2026/06/02,千葉印刷㈲,,CPP シート 100μ 黒,,23760,ｍ,  0,89310,2026/06/18,,無地,,スリッター,,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
0000326756-000,2026/06/02,熊本プリント㈱,ORD-30111,EVOH テープ 300μ 青,,2000,ｍ,  0,812048,2026/07/14,2026/07/15,旧版,,印刷,2号機,2026/07/07 確,0,ラミネート,Ｌ１号,2026/07/13 確,0,スリッター,４号機,2026/07/14 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326757-000,2026/06/02,千葉印刷㈲,,AL トレー 100μ 銀,,23760,ｍ,  0,68972,2026/06/18,2026/06/19,無地,,スリッター,４号機,2026/06/18 完,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/19,348882,58623,,
0000326758-000,2026/06/02,姫路加工(有),ORD-58760,PE フィルム 300μ 透明,,15200,ｍ,  0,565504,2026/07/21,2026/08/31,旧版,,印刷,5号機,2026/08/27 確,0,スリッター,２号機,2026/08/28 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326759-000,2026/06/02,熊本プリント㈱,ORD-20077,紙 ラベル 300μ クリア,,2000,ｍ,  0,701800,2026/07/14,2026/07/15,旧版,,印刷,2号機,2026/07/07 確,0,ラミネート,Ｌ１号,2026/07/13 確,0,スリッター,４号機,2026/07/14 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326760-000,2026/06/02,相模商事(株),ORD-28047,不織布 ロール 100μ 透明,,15040,枚,  0,79397,2026/07/09,2026/07/10,,,合掌,９号機,2026/07/03 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326761-000,2026/06/02,姫路加工(有),ORD-58096,AL トレー 100μ 銀,,15520,ｍ,  0,517368,2026/07/10,2026/08/31,旧版,,印刷,5号機,2026/08/27 確,0,スリッター,２号機,2026/08/28 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326762-000,2026/06/02,浜松パッケージ,ORD-51207,透明 カップ 300μ 黒,,18666,枚,  0,781113,2026/07/17,2026/08/03,旧版,,印刷,4号機,2026/07/27 確,0,サイド,６号機,2026/07/30 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326763-000,2026/06/02,広島商事(株),,OPP 袋 100μ 青,,11375,枚,  0,46528,2026/07/02,2026/07/02,,,合掌,９号機,2026/06/12 完,11100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326764-000,2026/06/02,岡山フィルム㈲,ORD-42717,PET パウチ 300μ 銀,,45333,枚,  0,218959,2026/07/21,2026/07/31,旧版,,印刷,2号機,2026/06/30 確,0,ラミネート,Ｌ１号,2026/07/16 確,0,スリッター,６号機,2026/07/21 確,0,サイド,１２号機,2026/07/30 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326765-000,2026/06/02,川崎テック(株),ORD-13396,NY チューブ 100μ クリア,,42500,枚,  0,871411,2026/06/19,2026/07/14,旧版,,印刷,1号機,2026/06/25 確,0,ラミネート,Ｌ１号,2026/07/10 確,0,スリッター,４号機,2026/07/13 確,0,その他製袋,東邦ﾌｲﾙﾑ,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326766-000,2026/06/02,熊本プリント㈱,ORD-34385,PE フィルム 300μ 透明,,18800,ｍ,  0,623285,2026/07/17,2026/07/17,旧版,,印刷,5-Ｆ号機,2026/07/01 確,0,ラミネート,宮内紙工,2026/07/03 確,0,スリッター,２号機,2026/07/16 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326767-000,2026/06/02,川崎テック(株),ORD-77861,CPP シート 100μ 黒,,30909,枚,  0,505785,2026/07/02,2026/07/28,旧版,,印刷,2号機,2026/07/08 確,0,ラミネート,Ｌ１号,2026/07/15 確,0,スリッター,４号機,2026/07/16 確,0,サイド,１７号機,2026/07/23 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326768-000,2026/06/02,川崎テック(株),ORD-83619,EVOH テープ 300μ 青,,26153,枚,  0,223481,2026/07/02,2026/07/31,旧版,2026/06/11,印刷,2号機,2026/07/08 確,0,ラミネート,Ｌ１号,2026/07/15 確,0,スリッター,４号機,2026/07/16 確,0,サイド,１８号機,2026/07/29 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326769-000,2026/06/02,熊本プリント㈱,ORD-44311,AL トレー 100μ 銀,,3600,ｍ,  0,44116,2026/07/17,2026/07/17,旧版,,印刷,4号機,2026/07/13 確,0,ラミネート,Ｌ１号,2026/07/14 確,0,スリッター,５号機,2026/07/15 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326770-000,2026/06/02,新潟工業(有),ORD-68493,紙 ラベル 300μ クリア,,34042,枚,  0,324993,2026/07/21,2026/07/30,旧版,,印刷,2号機,2026/07/06 確,0,ラミネート,Ｌ１号,2026/07/09 確,0,スリッター,６号機,2026/07/13 確,0,サイド,１５号機,2026/07/15 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326771-000,2026/06/02,熊本プリント㈱,ORD-90199,不織布 ロール 100μ 透明,,3600,ｍ,  0,47431,2026/07/17,2026/07/17,旧版,,印刷,4号機,2026/07/13 確,0,ラミネート,Ｌ１号,2026/07/14 確,0,スリッター,５号機,2026/07/15 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326772-000,2026/06/02,埼玉プリント㈱,ORD-74382,紙 ラベル 300μ クリア,,17090,枚,  0,36237,2026/06/29,2026/07/15,無地,,サイド,２２号機,2026/07/10 確,0,後加工,後加工（ｼｭｰｸ,2026/07/13 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326773-000,2026/06/02,熊本プリント㈱,ORD-26074,透明 カップ 300μ 黒,,22320,ｍ,  0,242321,2026/07/13,2026/07/13,旧版,,印刷,1-Ｆ号機,2026/07/03 確,0,ラミネート,Ｌ2号機,2026/07/09 確,0,スリッター,２号機,2026/07/10 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326774-000,2026/06/02,埼玉プリント㈱,ORD-19706,OPP 袋 100μ 青,,25066,枚,  0,69250,2026/06/24,2026/08/03,無地,,サイド,２１号機,2026/07/29 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
